Date,Period,Day-Ahead Price
2013-01-09,41,52.06
2013-01-09,42,50.2
2013-01-09,43,50.2
2013-01-09,44,44.88
2013-01-09,45,44.88
2013-01-09,46,44.51
2013-01-09,47,44.51
2013-01-10,0,49.91
2013-01-10,1,49.91
2013-01-10,2,49.91
2013-01-10,3,49.91
2013-01-10,4,38.91
2013-01-10,5,38.91
2013-01-10,6,33.27
2013-01-10,7,33.27
2013-01-10,8,33.42
2013-01-10,9,33.42
2013-01-10,10,41.9
2013-01-10,11,41.9
2013-01-10,12,49.95
2013-01-10,13,49.95
2013-01-10,14,50.27
2013-01-10,15,50.27
2013-01-10,16,52.39
2013-01-10,17,52.39
2013-01-10,18,55.32
2013-01-10,19,55.32
2013-01-10,20,53.91
2013-01-10,21,53.91
2013-01-10,22,54.26
2013-01-10,23,54.26
2013-01-10,24,54
2013-01-10,25,54
2013-01-10,26,52.59
2013-01-10,27,52.59
2013-01-10,28,52.02
2013-01-10,29,52.02
2013-01-10,30,48.28
2013-01-10,31,48.28
2013-01-10,32,60.9
2013-01-10,33,60.9
2013-01-10,34,125.04
2013-01-10,35,125.04
2013-01-10,36,63.45
2013-01-10,37,63.45
2013-01-10,38,64.08
2013-01-10,39,64.08
2013-01-10,40,53.48
2013-01-10,41,53.48
2013-01-10,42,52.07
2013-01-10,43,52.07
2013-01-10,44,47.07
2013-01-10,45,47.07
2013-01-10,46,43.98
2013-01-10,47,43.98
2013-01-11,0,44.98
2013-01-11,1,44.98
2013-01-11,2,44.92
2013-01-11,3,44.92
2013-01-11,4,37.92
2013-01-11,5,37.92
2013-01-11,6,33.97
2013-01-11,7,33.97
2013-01-11,8,32.55
2013-01-11,9,32.55
2013-01-11,10,39.91
2013-01-11,11,39.91
2013-01-11,12,49.92
2013-01-11,13,49.92
2013-01-11,14,51.05
2013-01-11,15,51.05
2013-01-11,16,55.23
2013-01-11,17,55.23
2013-01-11,18,56.54
2013-01-11,19,56.54
2013-01-11,20,55.25
2013-01-11,21,55.25
2013-01-11,22,52.05
2013-01-11,23,52.05
2013-01-11,24,51.96
2013-01-11,25,51.96
2013-01-11,26,51.31
2013-01-11,27,51.31
2013-01-11,28,46.03
2013-01-11,29,46.03
2013-01-11,30,45.54
2013-01-11,31,45.54
2013-01-11,32,53.7
2013-01-11,33,53.7
2013-01-11,34,94.98
2013-01-11,35,94.98
2013-01-11,36,54.91
2013-01-11,37,54.91
2013-01-11,38,54.23
2013-01-11,39,54.23
2013-01-11,40,53.45
2013-01-11,41,53.45
2013-01-11,42,51.77
2013-01-11,43,51.77
2013-01-11,44,46
2013-01-11,45,46
2013-01-11,46,49.92
2013-01-11,47,49.92
2013-01-12,0,49.93
2013-01-12,1,49.93
2013-01-12,2,46.93
2013-01-12,3,46.93
2013-01-12,4,37.9
2013-01-12,5,37.9
2013-01-12,6,33.53
2013-01-12,7,33.53
2013-01-12,8,32.97
2013-01-12,9,32.97
2013-01-12,10,33.94
2013-01-12,11,33.94
2013-01-12,12,37.66
2013-01-12,13,37.66
2013-01-12,14,35.53
2013-01-12,15,35.53
2013-01-12,16,42.01
2013-01-12,17,42.01
2013-01-12,18,54.78
2013-01-12,19,54.78
2013-01-12,20,65.08
2013-01-12,21,65.08
2013-01-12,22,57.35
2013-01-12,23,57.35
2013-01-12,24,53.08
2013-01-12,25,53.08
2013-01-12,26,49.54
2013-01-12,27,49.54
2013-01-12,28,45.56
2013-01-12,29,45.56
2013-01-12,30,39.09
2013-01-12,31,39.09
2013-01-12,32,58.49
2013-01-12,33,58.49
2013-01-12,34,106.72
2013-01-12,35,106.72
2013-01-12,36,62.43
2013-01-12,37,62.43
2013-01-12,38,53.91
2013-01-12,39,53.91
2013-01-12,40,52.51
2013-01-12,41,52.51
2013-01-12,42,49.81
2013-01-12,43,49.81
2013-01-12,44,44.57
2013-01-12,45,44.57
2013-01-12,46,54.92
2013-01-12,47,54.92
2013-01-13,0,51.96
2013-01-13,1,51.96
2013-01-13,2,44.93
2013-01-13,3,44.93
2013-01-13,4,35.89
2013-01-13,5,35.89
2013-01-13,6,32.05
2013-01-13,7,32.05
2013-01-13,8,29.57
2013-01-13,9,29.57
2013-01-13,10,30.57
2013-01-13,11,30.57
2013-01-13,12,30.25
2013-01-13,13,30.25
2013-01-13,14,27.96
2013-01-13,15,27.96
2013-01-13,16,32.03
2013-01-13,17,32.03
2013-01-13,18,42
2013-01-13,19,42
2013-01-13,20,47.53
2013-01-13,21,47.53
2013-01-13,22,57.01
2013-01-13,23,57.01
2013-01-13,24,64.91
2013-01-13,25,64.91
2013-01-13,26,47.07
2013-01-13,27,47.07
2013-01-13,28,42.07
2013-01-13,29,42.07
2013-01-13,30,38.08
2013-01-13,31,38.08
2013-01-13,32,45.09
2013-01-13,33,45.09
2013-01-13,34,101.75
2013-01-13,35,101.75
2013-01-13,36,58.81
2013-01-13,37,58.81
2013-01-13,38,52.95
2013-01-13,39,52.95
