Date,Period,SSP,SBP
2013-01-08,19,38.4382,52.84
2013-01-08,20,38.37508,53.68
2013-01-08,21,38.82656,54.19
2013-01-08,22,39.10742,54.02
2013-01-08,23,38.24065,54.05
2013-01-08,24,38.90368,53.71
2013-01-08,25,39.33821,53.79
2013-01-08,26,39.93889,53.82
2013-01-08,27,52.7,63.80446
2013-01-08,28,51.65,59.58129
2013-01-08,29,40.26206,49.72
2013-01-08,30,39.83209,47.6
2013-01-08,31,40.08469,49.83
2013-01-08,32,40.33,50.47
2013-01-08,33,40.18804,51.31
2013-01-08,34,65.57,108.01752
2013-01-08,35,79.42,119.70547
2013-01-08,36,74.74,107.29951
2013-01-08,37,40.28463,62.7
2013-01-08,38,39.97844,56.13
2013-01-08,39,39.66234,52.11
2013-01-08,40,38.79612,51.18
2013-01-08,41,38.74611,50.52
2013-01-08,42,38.68919,49.05
2013-01-08,43,40.3,47.63
2013-01-08,44,40.3,47.37
2013-01-08,45,40.3,47.12
2013-01-08,46,37.73452,44.81
2013-01-08,47,30.80621,38.82777
2013-01-08,48,29.77704,37.95356
2013-01-09,1,29.12142,37.88029
2013-01-09,2,29.32279,40.03725
2013-01-09,3,40,41.2947
2013-01-09,4,29.08585,37.69197
2013-01-09,5,30.49414,33.86774
2013-01-09,6,31.09139,34.19272
2013-01-09,7,34.93,52.02437
2013-01-09,8,31.00901,32.71
2013-01-09,9,33.34,52.1182
2013-01-09,10,31.141,32.26
2013-01-09,11,29.86944,36.9
2013-01-09,12,36.6,57.53382
2013-01-09,13,41.6,59.84384
2013-01-09,14,48.57,60.90286
2013-01-09,15,50.68,63.27493
2013-01-09,16,58.24,77.41727
2013-01-09,17,41,68.22
2013-01-09,18,39.3139,73.7
2013-01-09,19,39.26593,64.51
2013-01-09,20,39.65641,65.08
2013-01-09,21,40.08439,62.74
2013-01-09,22,40.03905,62.35
2013-01-09,23,39.85918,53.82
2013-01-09,24,39.1474,54.13
2013-01-09,25,40.18771,55
2013-01-09,26,39.95815,53.32
2013-01-09,27,40.0944,51.26
2013-01-09,28,40.22015,50.86
2013-01-09,29,40.13654,49.29
2013-01-09,30,40.16904,48.48
2013-01-09,31,40.20639,50.57
